release_id,pdf_page,entity_type,value_verbatim,value_normalized,norm_rule,candidate_flags
DOW-UAP-D092,43,ORG,SAFOI,SAFOI,,CLEAN
DOW-UAP-D092,43,ORG,Project Blue Book,Project Blue Book,,CLEAN
DOW-UAP-D092,43,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,43,ORG,FTD,FTD,,CLEAN
DOW-UAP-D092,45,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,49,DATE,16 February 1953,16 February 1953,,CLEAN
DOW-UAP-D092,50,PERSON,Dr. H.P. Robertson,Dr. H.P. Robertson,,CLEAN
DOW-UAP-D092,50,PERSON,Dr. Thornton Page,Dr. Thornton Page,,CLEAN
DOW-UAP-D092,50,PERSON,Dr. Samuel A. Goudsmit,Dr. Samuel A. Goudsmit,,CLEAN
DOW-UAP-D092,50,PERSON,Dr. Lloyd V. Berk,Dr. Lloyd V. Berk,,CLEAN
DOW-UAP-D092,50,ORG,CIA,CIA,,CLEAN
DOW-UAP-D092,50,ORG,ATIC,ATIC,,CLEAN
DOW-UAP-D092,51,PERSON,Capt. E. J. Ruppelt,Capt E. J. Ruppelt,RANK,CLEAN
DOW-UAP-D092,51,PERSON,Mr. E. J. Ruppelt,Mr. E. J. Ruppelt,,CLEAN
DOW-UAP-D092,51,ORG,CIA,CIA,,CLEAN
DOW-UAP-D092,51,ORG,ATIC,ATIC,,CLEAN
DOW-UAP-D092,51,DATE,5 August 19,5 August 19,,CLEAN
DOW-UAP-D092,52,PERSON,Mr. Ruppo,Mr. Ruppo,,CLEAN
DOW-UAP-D092,52,PERSON,Mr. Ruppclt,Mr. Ruppclt,,CLEAN
DOW-UAP-D092,52,ORG,CIA,CIA,,CLEAN
DOW-UAP-D092,52,ORG,ATIC,ATIC,,CLEAN
DOW-UAP-D092,53,PERSON,Dr. Lloyd V. Berkner,Dr. Lloyd V. Berkner,,CLEAN
DOW-UAP-D092,53,ORG,ATIC,ATIC,,CLEAN
DOW-UAP-D092,53,ORG,CIA,CIA,,CLEAN
DOW-UAP-D092,54,PERSON,Dr. Berkner. The,Dr. Berkner. The,,TRUNCATED;TRAILING_PROSE
DOW-UAP-D092,54,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,55,ORG,ATIC,ATIC,,CLEAN
DOW-UAP-D092,55,DATE,1 August 1952,1 August 1952,,CLEAN
DOW-UAP-D092,55,DATE,2 July 1952,2 July 1952,,CLEAN
DOW-UAP-D092,55,DATE,19 July 1952,19 July 1952,,CLEAN
DOW-UAP-D092,55,DATE,5 August 1952,5 August 1952,,CLEAN
DOW-UAP-D092,55,DATE,29 July 1952,29 July 1952,,CLEAN
DOW-UAP-D092,55,DATE,10 October 1952,10 October 1952,,CLEAN
DOW-UAP-D092,58,ORG,ATIC,ATIC,,CLEAN
DOW-UAP-D092,59,PERSON,Dr. Goudsmit,Dr. Goudsmit,,CLEAN
DOW-UAP-D092,59,PERSON,Dr. Page,Dr. Page,,CLEAN
DOW-UAP-D092,59,ORG,ATIC,ATIC,,CLEAN
DOW-UAP-D092,63,PERSON,Dr. Pase,Dr. Pase,,CLEAN
DOW-UAP-D092,63,ORG,CIA,CIA,,CLEAN
DOW-UAP-D092,63,ORG,ADC,ADC,,CLEAN
DOW-UAP-D092,63,ORG,ATIC,ATIC,,CLEAN
DOW-UAP-D092,64,PERSON,Dr. Robertson,Dr. Robertson,,CLEAN
DOW-UAP-D092,64,ORG,ATIC,ATIC,,CLEAN
DOW-UAP-D092,65,PERSON,Dr. Page,Dr. Page,,CLEAN
DOW-UAP-D092,66,PERSON,Dr. Berkner,Dr. Berkner,,CLEAN
DOW-UAP-D092,66,ORG,ADC,ADC,,CLEAN
DOW-UAP-D092,68,PERSON,Dr. Hadley Cantril,Dr. Hadley Cantril,,CLEAN
DOW-UAP-D092,68,MARKING,secret,SECRET,MARKING,CLEAN
DOW-UAP-D092,69,PERSON,Dr. Berknar,Dr. Berknar,,CLEAN
DOW-UAP-D092,69,ORG,ONR,ONR,,CLEAN
DOW-UAP-D092,69,ORG,ATIC,ATIC,,CLEAN
DOW-UAP-D092,70,ORG,ATIC,ATIC,,CLEAN
DOW-UAP-D092,71,PERSON,Dr. Robertson,Dr. Robertson,,CLEAN
DOW-UAP-D092,71,ORG,ATIC,ATIC,,CLEAN
DOW-UAP-D092,71,ORG,ADC,ADC,,CLEAN
DOW-UAP-D092,75,ORG,ATIC,ATIC,,CLEAN
DOW-UAP-D092,75,ORG,USAF,USAF,,CLEAN
DOW-UAP-D092,75,DATE,17 January 1953,17 January 1953,,CLEAN
DOW-UAP-D092,75,DATE,2 July 1952,2 July 1952,,CLEAN
DOW-UAP-D092,76,ORG,USAF,USAF,,CLEAN
CIA-UAP-D022,1,MARKING,UNCLASSIFIED,UNCLASSIFIED,,CLEAN
CIA-UAP-D022,1,MARKING,CONFIDENTIAL,CONFIDENTIAL,,CLEAN
CIA-UAP-D022,1,MARKING,SECRET,SECRET,,CLEAN
CIA-UAP-D022,2,MARKING,restricted,RESTRICTED,MARKING,CLEAN
CIA-UAP-D022,2,MARKING,TOP SECRET,TOP SECRET,,CLEAN
CIA-UAP-D022,5,MARKING,TOP SECRET,TOP SECRET,,CLEAN
CIA-UAP-D022,5,MARKING,restricted,RESTRICTED,MARKING,CLEAN
CIA-UAP-D022,6,ORG,OSI,OSI,,CLEAN
CIA-UAP-D022,6,DATE,24 November 1964,24 November 1964,,CLEAN
FBI-UAP-D032,1,ORG,FBI,FBI,,CLEAN
DOW-UAP-D097,1,ORG,USAF,USAF,,CLEAN
DOW-UAP-D097,1,DATE,1 July 1948,1 July 1948,,CLEAN
DOW-UAP-D097,1,DATE,26 January 1948,26 January 1948,,CLEAN
DOW-UAP-D097,2,PERSON,Dr. Ining Langmuir,Dr. Ining Langmuir,,CLEAN
DOW-UAP-D097,3,DATE,Jul 47 0930,Jul 47 0930,,CLEAN
DOW-UAP-D097,3,DATE,Jul 47 1000,Jul 47 1000,,CLEAN
DOW-UAP-D097,3,DATE,7 Jul 47,7 Jul 47,,CLEAN
DOW-UAP-D097,3,DATE,Jul 47 1150,Jul 47 1150,,CLEAN
DOW-UAP-D097,3,DATE,4 Jul 47,4 Jul 47,,CLEAN
DOW-UAP-D097,3,DATE,Jun 47 1500,Jun 47 1500,,CLEAN
DOW-UAP-D097,3,DATE,20 Oct 47,20 Oct 47,,CLEAN
DOW-UAP-D097,3,MARKING,CONFIDENTIAL,CONFIDENTIAL,,CLEAN
DOW-UAP-D097,4,DATE,29 Jun 47,29 Jun 47,,CLEAN
DOW-UAP-D097,4,DATE,30 Jun 47,30 Jun 47,,CLEAN
DOW-UAP-D097,4,DATE,4 Jul 47,4 Jul 47,,CLEAN
DOW-UAP-D097,4,DATE,10 Jul 47,10 Jul 47,,CLEAN
